Authors,Affiliations
Giovanni Pilato,National Research Council of Italy
Giosue' Lo Bosco,Università di Palermo
Alfredo Cuzzocrea,University of Calabria
davide taibi,National Research Council of Italy
Gabriella Casalino,University of Bari
Luca Grilli,Università di Foggia
Pierpaolo Limone,Professor of digital media and education
Domenico Santoro,University of Bari
Luca Pinello,Harvard Medical School
Raffaele Giancarlo,University of Palermo
Biagio Lenzitti,University of Palermo
Riccardo Rizzo,National Research Council of Italy
Daniele Schicchi,Università di Palermo
Giampaolo Barone, Università di Palermo
Davide F.V. Corona, Università di Palermo
Guo-Cheng Yuan,Icahn School of Medicine
Marco Alfano,Maynooth University
Francesco Cappello, Università di Palermo
Magdalena Gorska-Ponikowska,Medical University of Gdansk
Mattia Antonino Di Gangi,AppTek 
Luca Albergante,Sensyne Health
Huidong Chen,Morphic Therapeutic
Alexander N. Gorban (АН Горбань),University of Leicester
Filippo Utro,IBM
Massimo La Rosa,National Research Council of Italy
Antonino Fiannaca,National Research Council of Italy
Alfonso Urso,National Research Council of Italy
Horacio Saggion,University of Pompeu Fabra
Simone Paolo Ponzetto, University of Mannheim
Ruslan Mitkov,University of Wolverhampton
Chris Biemann, University of Hamburg
Heiner Stuckenschmidt,University of Mannheim
Maja Popovic,Dublin City University
Sergiu Nisioi,University of Bucharest
Goran Glavaš,University of Würzburg
Seid Muhie Yimam (ሰይድ ሙሄ ይማም),University of Hamburg
Marc Franco-Salvador,Symanto
Marcos Zampieri,Rochester Institute of Technology
Lucia Specia,Imperial College London
Richard Evans, University of Wolverhampton
Stefan Bott,Universität Stuttgart
Liviu P. Dinu,University of Bucharest
Martin Riedl,Diamant Software
Kilian Theil,University of Mannheim
Paolo Rosso,Universitat Politècnica de València
Luz Rello,IE Business School
Simon Mille,University of Pompeu Fabra
Francesco Ronzano,University of Pompeu Fabra
hamish cunningham,University of Sheffield
Kalina Bontcheva,University of Sheffield
Francesco Barbieri,Snap Inc.
Luis Espinosa-Anke, Cardiff University
Diana Maynard, University of Sheffield
Dragomir Radev,Yale University
Sanja Štajner,Symanto
Yorick Wilks,IHMC
Ricardo Baeza-Yates,University of Pompeu Fabra
Wai Lam,The Chinese University of Hong Kong
Simone Teufel,Cambridge University
Guy Lapalme,University of Montréal
Robert Gaizauskas,University of Sheffield
Valentin Tablan,Ieso Digital Health
Elliott Franco Drábek,Atreca
John Blitzer,Google Research
Shuly Wintner,University of Haifa
Ella Rabinovich,IBM Research
Noam Ordan,University of Haifa
Alina Maria Cristea (Ciobanu),University of Bucharest
Ioana Hulpus,Utrecht University
Octavia-Maria Șulea,PARC
Gilberto Reynoso Meza (ORCID:0000-...,"Associate Professor, Escola Politécnica, Pontifícia Universidade Católica do Paraná (PUCPR), BRAZIL"
Paulo Cavalin,IBM
Leandro dos Santos Coelho,"Data Science, AI and Machine Learning Consulting, Mechatr. Eng. (PUCPR) and Electr. Eng. (UFPR)"
Claudio Pinhanez,IBM
Ana Paula Appel,IBM
Gabriel Louzada Malfatti,Federal University of ABC
Julio Nogima,IBM Research
Henrique Ferreira,Federal University of ABC
